12:5:7,0,0,0,0,0,0
12:5:29,0,0,0,0,0,0
12:5:30,0,0,0,0,0,0
12:5:31,0,0,0,0,0,0
12:5:32,0,0,0,0,0,0
12:5:33,0,0,0,0,0,0
12:5:34,0,0,0,0,0,0
12:5:35,0,0,0,0,0,0
12:5:36,0,0,0,0,0,0
12:5:37,0,0,0,0,0,0
12:5:38,0,0,0,0,0,0
12:5:39,0,0,0,0,0,0
12:5:40,0,0,0,0,0,0
12:5:41,0,0,0,0,0,0
12:5:42,0,0,0,0,0,0
12:5:43,0,0,0,0,0,0
12:5:44,0,0,0,0,0,0
12:5:45,0,0,0,0,0,0
12:5:46,0,0,0,0,0,0
12:5:47,0,0,0,0,0,0
12:5:48,0,0,0,0,0,0
12:5:49,0,0,0,0,0,0
12:5:50,-1,1,0,0,0,0
12:5:51,0,1,0,0,0,0
12:5:52,1,1,0,0,0,0
12:5:53,1,1,0,0,0,0
12:5:54,0,1,0,0,0,0
12:5:55,0,1,0,0,0,0
12:5:56,0,1,0,0,0,0
12:5:57,0,1,0,0,0,0
12:5:58,0,1,0,0,0,0
12:5:59,0,1,0,0,0,0
12:6:0,1,1,0,0,0,0
12:6:1,1,0,0,0,0,0
12:6:2,866,123,0,0,0,0
12:6:3,918,130,866,123,0,0
12:6:4,917,130,918,130,910,126
12:6:5,917,130,918,130,910,126
12:6:6,916,130,918,130,910,126
12:6:7,916,130,918,130,910,126
12:6:8,914,130,918,130,910,126
12:6:9,914,130,918,130,910,126
12:6:10,915,130,918,130,910,126
12:6:11,915,130,918,130,910,126
12:6:12,915,130,918,130,910,126
12:6:13,915,130,918,130,910,126
12:6:14,914,130,918,130,910,126
12:6:15,915,130,918,130,910,126
12:6:16,914,130,918,130,910,126
12:6:17,915,130,918,130,910,126
12:6:18,914,130,918,130,910,126
12:6:19,914,130,918,130,910,126
12:6:20,914,130,918,130,910,126
12:6:21,913,130,918,130,910,126
12:6:22,912,130,918,130,910,126
12:6:23,913,130,918,130,910,126
12:6:24,913,130,918,130,910,126
12:6:25,913,130,918,130,910,126
12:6:26,913,130,918,130,910,126
12:6:27,913,130,918,130,910,126
12:6:28,913,130,918,130,910,126
12:6:29,913,130,918,130,910,126
12:6:30,913,130,918,130,910,126
12:6:31,913,130,918,130,910,126
12:6:32,913,130,918,130,910,126
12:6:33,913,130,918,130,910,126
12:6:34,913,130,918,130,910,126
12:6:35,913,130,918,130,910,126
12:6:36,913,130,918,130,910,126
12:6:37,912,130,918,130,910,126
12:6:38,913,130,918,130,910,126
12:6:39,912,130,918,130,910,126
12:6:40,913,130,918,130,910,126
12:6:41,914,130,918,130,910,126
12:6:42,913,130,918,130,910,126
12:6:43,912,130,918,130,910,126
12:6:44,912,130,918,130,910,126
12:6:45,911,129,918,130,910,126
12:6:46,911,129,911,129,910,126
12:6:47,913,130,911,129,910,126
12:6:48,913,130,911,129,910,126
12:6:49,913,130,911,129,910,126
12:6:50,913,130,911,129,910,126
12:6:51,913,130,911,129,910,126
12:6:52,913,130,911,129,910,126
12:6:53,913,130,911,129,910,126
12:6:54,913,130,911,129,910,126
12:6:55,913,130,911,129,910,126
12:6:56,913,130,911,129,910,126
12:6:57,913,130,911,129,910,126
12:6:58,913,130,911,129,910,126
12:6:59,913,130,911,129,910,126
12:7:0,913,130,911,129,910,126
12:7:1,913,130,911,129,910,126
12:7:2,913,130,911,129,910,126
12:7:3,913,130,911,129,910,126
12:7:4,912,130,911,129,910,126
12:7:5,912,130,911,129,910,126
12:7:6,912,130,911,129,910,126
12:7:7,912,130,911,129,910,126
12:7:8,912,130,911,129,910,126
12:7:9,913,130,911,129,910,126
12:7:10,911,129,911,129,910,126
12:7:11,911,129,911,129,910,126
12:7:12,912,130,911,129,910,126
12:7:13,912,130,911,129,910,126
12:7:14,912,130,911,129,910,126
12:7:15,912,130,911,129,910,126
