12:54:10,0,0,0,0,0,0
12:55:45,0,0,0,0,0,0
12:55:46,0,0,0,0,0,0
12:55:46,0,0,0,0,0,0
12:55:48,0,0,0,0,0,0
12:55:48,0,0,0,0,0,0
12:55:49,0,0,0,0,0,0
12:55:51,0,0,0,0,0,0
12:55:52,15,5,0,0,0,0
12:55:53,29,9,15,5,0,0
12:55:54,29,9,29,9,27,0
12:55:54,29,9,29,9,27,0
12:55:55,29,9,29,9,27,0
12:55:57,29,9,29,9,27,0
12:55:57,29,9,29,9,27,0
12:55:59,29,9,29,9,27,0
12:56:0,29,9,29,9,27,0
12:56:0,29,9,29,9,27,0
12:56:1,29,9,29,9,27,0
12:56:2,29,9,29,9,27,0
12:56:4,29,9,29,9,27,0
12:56:5,29,9,29,9,27,0
12:56:6,29,9,29,9,27,0
12:56:6,29,9,29,9,27,0
12:56:7,29,9,29,9,27,0
12:56:9,29,9,29,9,27,0
12:56:10,29,9,29,9,27,0
12:56:11,29,9,29,9,27,0
12:56:12,29,9,29,9,27,0
12:56:12,29,9,29,9,27,0
12:56:13,29,9,29,9,27,0
12:56:15,29,9,29,9,27,0
12:56:15,29,9,29,9,27,0
12:56:17,29,9,29,9,27,0
12:56:18,29,9,29,9,27,0
12:56:18,29,9,29,9,27,0
12:56:19,29,9,29,9,27,0
12:56:20,29,9,29,9,27,0
12:56:21,29,9,29,9,27,0
12:56:23,29,9,29,9,27,0
12:56:24,29,9,29,9,27,0
12:56:25,29,9,29,9,27,0
12:56:25,29,9,29,9,27,0
12:56:27,29,9,29,9,27,0
12:56:28,28,9,29,9,27,0
12:56:29,28,9,29,9,27,0
12:56:30,28,9,29,9,27,0
12:56:30,28,9,29,9,27,0
12:56:31,28,9,29,9,27,0
12:56:33,28,9,29,9,27,0
12:56:33,28,9,29,9,27,0
12:56:35,28,9,29,9,27,0
12:56:36,28,9,29,9,27,0
12:56:36,28,9,29,9,27,0
12:56:37,28,9,29,9,27,0
12:56:39,28,9,29,9,27,0
12:56:39,28,9,29,9,27,0
12:56:41,28,9,29,9,27,0
12:56:42,28,9,29,9,27,0
12:56:42,28,9,29,9,27,0
12:56:43,28,9,29,9,27,0
12:56:45,28,9,29,9,27,0
12:56:45,28,9,29,9,27,0
12:56:47,28,9,29,9,27,0
12:56:48,28,9,29,9,27,0
12:56:48,28,9,29,9,27,0
12:56:50,28,9,29,9,27,0
12:56:51,28,9,29,9,27,0
12:56:51,28,9,29,9,27,0
12:56:53,28,9,29,9,27,0
12:56:54,28,9,29,9,27,0
12:56:54,28,9,29,9,27,0
12:56:55,28,9,29,9,27,0
12:56:57,28,9,29,9,27,0
12:56:57,28,9,29,9,27,0
12:56:59,28,9,29,9,27,0
12:56:59,28,9,29,9,27,0
